341,Lennart Meri Tallinn Airport,Tallinn-ulemiste International,Estonia,TLL
342,Tartu Airport,Tartu,Estonia,TAY
343,Enontekio Airport,Enontekio,Finland,ENF
344,Halli Airport,Halli,Finland,KEV
345,Helsinki Malmi Airport,Helsinki,Finland,HEM
346,Helsinki Vantaa Airport,Helsinki,Finland,HEL
347,Hyvinkää Airfield,Hyvinkaa,Finland,HYV
348,Ivalo Airport,Ivalo,Finland,IVL
349,Joensuu Airport,Joensuu,Finland,JOE
350,Jyvaskyla Airport,Jyvaskyla,Finland,JYV
351,Kauhava Airport,Kauhava,Finland,KAU
352,Kemi-Tornio Airport,Kemi,Finland,KEM
353,Kajaani Airport,Kajaani,Finland,KAJ
354,Kokkola-Pietarsaari Airport,Kruunupyy,Finland,KOK
355,Kuusamo Airport,Kuusamo,Finland,KAO
356,Kittilä Airport,Kittila,Finland,KTT
357,Kuopio Airport,Kuopio,Finland,KUO
358,Lappeenranta Airport,Lappeenranta,Finland,LPP
359,Mariehamn Airport,Mariehamn,Finland,MHQ
360,Mikkeli Airport,Mikkeli,Finland,MIK
361,Oulu Airport,Oulu,Finland,OUL
362,Pori Airport,Pori,Finland,POR
363,Rovaniemi Airport,Rovaniemi,Finland,RVN
364,Savonlinna Airport,Savonlinna,Finland,SVL
365,Sodankyla Airport,Sodankyla,Finland,SOT
366,Tampere-Pirkkala Airport,Tampere,Finland,TMP
367,Turku Airport,Turku,Finland,TKU
368,Utti Air Base,Utti,Finland,QVY
369,Vaasa Airport,Vaasa,Finland,VAA
370,Varkaus Airport,Varkaus,Finland,VRK
371,Belfast International Airport,Belfast,United Kingdom,BFS
372,St Angelo Airport,Enniskillen,United Kingdom,ENK
373,George Best Belfast City Airport,Belfast,United Kingdom,BHD
374,City of Derry Airport,Londonderry,United Kingdom,LDY
375,Birmingham International Airport,Birmingham,United Kingdom,BHX
376,Coventry Airport,Coventry,United Kingdom,CVT
377,Gloucestershire Airport,Golouchestershire,United Kingdom,GLO
378,Manchester Airport,Manchester,United Kingdom,MAN
379,Newquay Cornwall Airport,Newquai,United Kingdom,NQY
380,RAF Lyneham,Lyneham,United Kingdom,LYE
381,RNAS Yeovilton,Yeovilton,United Kingdom,YEO
382,Cardiff International Airport,Cardiff,United Kingdom,CWL
383,Swansea Airport,Swansea,United Kingdom,SWS
384,Bristol Airport,Bristol,United Kingdom,BRS
385,Liverpool John Lennon Airport,Liverpool,United Kingdom,LPL
386,London Luton Airport,London,United Kingdom,LTN
387,Plymouth City Airport,Plymouth,United Kingdom,PLH
388,Bournemouth Airport,Bournemouth,United Kingdom,BOH
389,Southampton Airport,Southampton,United Kingdom,SOU
390,Lasham Airport,Lasham,United Kingdom,QLA
391,Alderney Airport,Alderney,Guernsey,ACI
392,Guernsey Airport,Guernsey,Guernsey,GCI
393,Jersey Airport,Jersey,Jersey,JER
394,Shoreham Airport,Shoreham By Sea,United Kingdom,ESH
395,London Biggin Hill Airport,Biggin Hill,United Kingdom,BQH
396,London Gatwick Airport,London,United Kingdom,LGW
397,London City Airport,London,United Kingdom,LCY
398,Farnborough Airport,Farnborough,United Kingdom,FAB
399,Blackbushe Airport,Blackbushe,United Kingdom,BBS
400,London Heathrow Airport,London,United Kingdom,LHR
401,Southend Airport,Southend,United Kingdom,SEN
402,Lydd Airport,Lydd,United Kingdom,LYX
403,Kent International Airport,Manston,United Kingdom,MSE
404,Carlisle Airport,Carlisle,United Kingdom,CAX
405,Blackpool International Airport,Blackpool,United Kingdom,BLK
406,Humberside Airport,Humberside,United Kingdom,HUY
407,Barrow Walney Island Airport,Barrow Island,United Kingdom,BWF
408,Leeds Bradford Airport,Leeds,United Kingdom,LBA
409,Hawarden Airport,Hawarden,United Kingdom,CEG
410,Isle of Man Airport,Isle Of Man,Isle of Man,IOM
411,Newcastle Airport,Newcastle,United Kingdom,NCL
412,Durham Tees Valley Airport,Teesside,United Kingdom,MME
413,East Midlands Airport,East Midlands,United Kingdom,EMA
414,Kirkwall Airport,Kirkwall,United Kingdom,KOI
415,Sumburgh Airport,Sumburgh,United Kingdom,LSI
416,Wick Airport,Wick,United Kingdom,WIC
417,Aberdeen Dyce Airport,Aberdeen,United Kingdom,ABZ
418,Inverness Airport,Inverness,United Kingdom,INV
419,Glasgow International Airport,Glasgow,United Kingdom,GLA
420,Edinburgh Airport,Edinburgh,United Kingdom,EDI
421,Islay Airport,Islay,United Kingdom,ILY
422,Glasgow Prestwick Airport,Prestwick,United Kingdom,PIK
423,Benbecula Airport,Benbecula,United Kingdom,BEB
424,Scatsta Airport,Scatsta,United Kingdom,SCS
425,Dundee Airport,Dundee,United Kingdom,DND
426,Stornoway Airport,Stornoway,United Kingdom,SYY
427,Tiree Airport,Tiree,United Kingdom,TRE
428,RAF Leuchars,Leuchars,United Kingdom,ADX
429,RAF Lossiemouth,Lossiemouth,United Kingdom,LMO
430,Cambridge Airport,Cambridge,United Kingdom,CBG
431,Norwich International Airport,Norwich,United Kingdom,NWI
432,London Stansted Airport,London,United Kingdom,STN
433,Exeter International Airport,Exeter,United Kingdom,EXT
434,Bristol Filton Airport,Bristol,United Kingdom,FZO
435,Oxford (Kidlington) Airport,Oxford,United Kingdom,OXF
436,RAF Mildenhall,Mildenhall,United Kingdom,MHZ
437,RAF Fairford,Fairford,United Kingdom,FFD
438,RAF Brize Norton,Brize Norton,United Kingdom,BZZ
439,RAF Odiham,Odiham,United Kingdom,ODH
440,RAF Northolt,Northolt,United Kingdom,NHT
441,RAF Coningsby,Coningsby,United Kingdom,QCY
442,RAF Honington,Honington,United Kingdom,BEQ
443,RAF Linton-On-Ouse,Linton-on-ouse,United Kingdom,HRT
444,RAF Waddington,Waddington,United Kingdom,WTN
445,RAF Marham,Marham,United Kingdom,KNF
446,Mount Pleasant Airport,Mount Pleasant,Falkland Islands,MPN
447,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS
448,Maastricht Aachen Airport,Maastricht,Netherlands,MST
449,Eindhoven Airport,Eindhoven,Netherlands,EIN
450,Eelde Airport,Groningen,Netherlands,GRQ
451,De Kooy Airport,De Kooy,Netherlands,DHR
452,Lelystad Airport,Lelystad,Netherlands,LEY
453,Leeuwarden Air Base,Leeuwarden,Netherlands,LWR
454,Rotterdam The Hague Airport,Rotterdam,Netherlands,RTM
455,Soesterberg Air Base,Soesterberg,Netherlands,UTC
456,Twente Airfield,Enschede,Netherlands,ENS
457,Valkenburg Naval Air Base,Valkenburg,Netherlands,LID
458,Woensdrecht Air Base,Woensdrecht,Netherlands,WOE
